Observation_Sorted,Cooks_Distance_Sorted
1,2.8062160486764305e-12
2,2.221782565866497e-08
3,3.101494204057561e-08
4,3.101494204121921e-08
5,3.101494204121921e-08
6,3.101494204121921e-08
7,3.101494204133326e-08
8,3.167606555530707e-08
9,3.3768557999707047e-08
10,3.6320318981953536e-08
11,3.6320318982392524e-08
12,3.6320318982392524e-08
13,3.6320318982392524e-08
14,3.6320318982392524e-08
15,3.632031898265537e-08
16,3.632031898478671e-08
17,4.2699589212820194e-08
18,1.1045513142492537e-07
19,1.1449045005314264e-07
20,1.1449045005314264e-07
21,1.1449045005314264e-07
22,1.2593344069337238e-07
23,1.423226380024394e-07
24,1.5170797981262247e-07
25,1.538079018449278e-07
26,1.6617943410302367e-07
27,1.6617943410302367e-07
28,2.3408157011308546e-07
29,3.217056615706551e-07
30,3.3262021120416336e-07
31,3.924344966299714e-07
32,5.193608474633199e-07
33,5.422566518988269e-07
34,5.422566519454698e-07
35,5.459155278071619e-07
36,6.075387297169134e-07
37,9.042429281178123e-07
38,9.042429281223204e-07
39,9.212187899616091e-07
40,9.769051272630069e-07
41,1.210662973457994e-06
42,1.6165380558160394e-06
43,1.7594963474101137e-06
44,1.8392237026704125e-06
45,1.839223753282183e-06
46,1.8481681761821666e-06
47,1.9779668265380973e-06
48,2.254321135630202e-06
49,2.3425943699140824e-06
50,2.3738298488948796e-06
51,2.5398042959233682e-06
52,2.5523784253147366e-06
53,2.592600881126312e-06
54,2.6289717998388943e-06
55,2.6464839128630415e-06
56,2.821512271897559e-06
57,2.821512271897559e-06
58,2.8608470210260564e-06
59,3.129563582533943e-06
60,3.1377239990958506e-06
61,3.346697231880411e-06
62,3.550546867287953e-06
63,3.550546867287953e-06
64,3.550546867287953e-06
65,3.560184553048233e-06
66,3.5826888799730973e-06
67,3.6279798911059734e-06
68,3.6279798911059734e-06
69,3.797237388700783e-06
70,3.804865392423313e-06
71,3.804865392423313e-06
72,3.804865392423313e-06
73,4.0173157286498716e-06
74,4.0173157286498716e-06
75,4.0173157286498716e-06
76,4.0173157286498716e-06
77,4.0173157286498716e-06
78,4.0173157286498716e-06
79,4.0173157286498716e-06
80,4.021915274870393e-06
81,4.224688508364555e-06
82,4.492782123329158e-06
