Fold,Base_Model_R2,Full_Model_R2,Improvement
Fold 1,0.3334102257845043,0.3334102257839153,-5.889733145636455e-13
Fold 2,0.2852503018745034,0.28525030187068146,-3.821942762272101e-12
Fold 3,0.40943410733690666,0.40943410734146846,4.561795385882306e-12
Fold 4,0.31899032578518116,0.3189903257867521,1.5709655798445965e-12
Fold 5,0.3326807813555306,0.33268078135597834,4.4775294583132563e-13
