Metric,Value
Mean CV R2 (Base),0.3359531484273252
Mean CV R2 (Full),0.3359531484277592
Std Dev CV R2 (Full),0.04548390420149778
Range CV R2 (Full),0.124183805470787
Paired t-statistic,0.31692766694663504
Paired p-value,0.7671504807291418
