Metric,Value
MAE,0.4352866076637854
RMSE,0.5843489216876879
NRMSE,0.14325152192094226
R2,0.3334102257852395
Adjusted R2,-0.15672931407855506
Train Rows,710.0
Test Rows,178.0
Predictor Count,75.0
